wavelength_nm,mean_of_treatments_absorptance_fraction_model,mean_of_treatments_transmittance_fraction_model,mean_of_treatments_reflectance_fraction_model,mean_of_treatments_absorptance_fraction_raw_digitized,mean_of_treatments_absorptance_fraction_implied_from_rt_raw,mean_of_treatments_absorptance_fraction_implied_from_rt,mean_of_treatments_absorptance_basis,mean_of_treatments_rt_model_adjustment,o_plus_fr_absorptance_fraction_model,o_plus_fr_transmittance_fraction_model,o_plus_fr_reflectance_fraction_model,o_plus_fr_absorptance_fraction_raw_digitized,o_plus_fr_absorptance_fraction_implied_from_rt_raw,o_plus_fr_absorptance_fraction_implied_from_rt,o_plus_fr_absorptance_basis,o_plus_fr_rt_model_adjustment,orange_absorptance_fraction_model,orange_transmittance_fraction_model,orange_reflectance_fraction_model,orange_absorptance_fraction_raw_digitized,orange_absorptance_fraction_implied_from_rt_raw,orange_absorptance_fraction_implied_from_rt,orange_absorptance_basis,orange_rt_model_adjustment,r_plus_fr_absorptance_fraction_model,r_plus_fr_transmittance_fraction_model,r_plus_fr_reflectance_fraction_model,r_plus_fr_absorptance_fraction_raw_digitized,r_plus_fr_absorptance_fraction_implied_from_rt_raw,r_plus_fr_absorptance_fraction_implied_from_rt,r_plus_fr_absorptance_basis,r_plus_fr_rt_model_adjustment,red_absorptance_fraction_model,red_transmittance_fraction_model,red_reflectance_fraction_model,red_absorptance_fraction_raw_digitized,red_absorptance_fraction_implied_from_rt_raw,red_absorptance_fraction_implied_from_rt,red_absorptance_basis,red_rt_model_adjustment
404,0.8868904738536102,0.022016351274734836,0.09109317487165496,0.8868904738536102,0.8835291865810837,0.8835291865810837,mean_of_treatment_models,mean_of_treatment_models,0.8717857044642966,0.027842210212782624,0.10037208532292077,0.8717857044642966,0.8757011079901027,0.8757011079901027,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8999123005971359,0.01476856807563964,0.08531913132722446,0.8999123005971359,0.9099932446837782,0.9099932446837782,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.8611179011022602,0.03194114727562528,0.10694095162211455,0.8611179011022602,0.8470677276056564,0.8470677276056564,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.9147459892507481,0.013513479534891794,0.07174053121436008,0.9147459892507481,0.9013546660447974,0.9013546660447974,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget
405,0.8806742165081016,0.022161631178935035,0.09716415231296324,0.8806742165081016,0.878773098761563,0.878773098761563,mean_of_treatment_models,mean_of_treatment_models,0.8694681409818298,0.026968906416981585,0.10356295260118863,0.8694681409818298,0.8712588979469239,0.8712588979469239,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.89619643501874,0.014047788236268312,0.08975577674499166,0.89619643501874,0.9018397381990397,0.9018397381990397,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8557987813476811,0.03211825191404023,0.1120829667382787,0.8557987813476811,0.8415724261749788,0.8415724261749788,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.901233508684156,0.015511578148450013,0.08325491316739402,0.901233508684156,0.9004213327253091,0.9004213327253091,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct
406,0.8749609261642739,0.022418174025300375,0.10262089981042576,0.8749609261642739,0.8750708617761551,0.8750708617761551,mean_of_treatment_models,mean_of_treatment_models,0.8671505774993631,0.02617225555301306,0.10667716694762387,0.8671505774993631,0.8667766427682602,0.8667766427682602,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8944924374470665,0.013736153858471148,0.09177140869446233,0.8944924374470665,0.8979416801862383,0.8979416801862383,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.850479661593102,0.03229090694025713,0.11722943146664093,0.850479661593102,0.8360771247443015,0.8360771247443015,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.8877210281175639,0.017473379749460158,0.0948055921329759,0.8877210281175639,0.8994879994058207,0.8994879994058207,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget
407,0.8705529097010907,0.02210193518256448,0.10734515511634488,0.8705529097010907,0.8688063666153992,0.8688063666153992,mean_of_treatment_models,mean_of_treatment_models,0.8648330140168964,0.02562789275748783,0.1095390932256158,0.8648330140168964,0.8620274866052584,0.8620274866052584,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8978492217349271,0.01378367852442535,0.08836709974064756,0.8978492217349271,0.9015070664417403,0.9015070664417403,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8453208555015672,0.032487580887206574,0.12219156361122621,0.8453208555015672,0.8309032811805243,0.8309032811805243,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.8742085475509719,0.016508588561138165,0.10928286388788995,0.8742085475509719,0.8807876322340739,0.8807876322340739,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct
408,0.8786398470817448,0.022202153282957323,0.0991579996352979,0.8786398470817448,0.8749344984988472,0.8749344984988472,mean_of_treatment_models,mean_of_treatment_models,0.866927128625801,0.028826691320014593,0.10424618005418439,0.866927128625801,0.879635654466627,0.879635654466627,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.9012060060227877,0.01383455987245747,0.08495943410475486,0.9012060060227877,0.9050724526972422,0.9050724526972422,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8421020511248899,0.033434316743396794,0.1244636321317133,0.8421020511248899,0.8327949122400076,0.8327949122400076,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.9043242025535005,0.012713045195960431,0.08296275225053902,0.9043242025535005,0.8822349745915118,0.8822349745915118,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget
409,0.8795708473839975,0.0218526533410357,0.09857649927496687,0.8795708473839975,0.8765242588415916,0.8765242588415916,mean_of_treatment_models,mean_of_treatment_models,0.8709590033217349,0.02698723561648524,0.10205376106177984,0.8709590033217349,0.8757386734749012,0.8757386734749012,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.9045627903106482,0.013453526248039737,0.08198368344131203,0.9045627903106482,0.9091233412006786,0.9091233412006786,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8388832467482125,0.03379964895840681,0.12731710429338072,0.8388832467482125,0.8354639972220956,0.8354639972220956,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.9038783491553941,0.013170202541211012,0.08295144830339488,0.9038783491553941,0.8857710234686909,0.8857710234686909,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget
410,0.8858697869758927,0.020808803370068074,0.09332140965403926,0.8858697869758927,0.8793118224581324,0.8793118224581324,mean_of_treatment_models,mean_of_treatment_models,0.8744847023984325,0.025176902412113834,0.10033839518945371,0.8744847023984325,0.870872178768197,0.870872178768197,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.9216834227756369,0.01186497321471671,0.06645160400964642,0.9216834227756369,0.9190707191909732,0.9190707191909732,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8438785269722135,0.0324351821730538,0.12368629085473264,0.8438785269722135,0.8381330822041837,0.8381330822041837,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.9034324957572878,0.013758155680387959,0.08280934856232425,0.9034324957572878,0.8891713096691761,0.8891713096691761,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget
411,0.8853125373348814,0.019740787055178947,0.09494667560993969,0.8853125373348814,0.8738645773087853,0.8738645773087853,mean_of_treatment_models,mean_of_treatment_models,0.8756699418261844,0.022581652580695902,0.1017484055931197,0.8756699418261844,0.8574297911650139,0.8574297911650139,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.9287695679931235,0.012259269538874532,0.05897116246800198,0.9287695679931235,0.9319554361490605,0.9319554361490605,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8338239971610361,0.029548151988925714,0.13662785085003823,0.8338239971610361,0.8140372307916767,0.8140372307916767,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.9029866423591815,0.014574074112219651,0.08243928352859888,0.9029866423591815,0.8920358511293903,0.8920358511293903,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget
412,0.8903894234026829,0.022926487287423997,0.08668408930989302,0.8903894234026829,0.8946831671623876,0.8946831671623876,mean_of_treatment_models,mean_of_treatment_models,0.8768551812539365,0.029777378370639672,0.09336744037542387,0.8768551812539365,0.8923737362003883,0.8923737362003883,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.9351014631233862,0.012487046066313756,0.05241149081030009,0.9351014631233862,0.9419926614483808,0.9419926614483808,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8472226218592397,0.034633935810664374,0.11814344233009595,0.8472226218592397,0.8541236689707719,0.8541236689707719,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.9023784273741696,0.014807588902078181,0.0828139837237522,0.9023784273741696,0.8902426020300098,0.8902426020300098,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget
413,0.8995674562425047,0.020778797876094292,0.07965374588140096,0.8995674562425047,0.8930773832664252,0.8930773832664252,mean_of_treatment_models,mean_of_treatment_models,0.8780404206816884,0.03120704854088156,0.09075253077743003,0.8780404206816884,0.8977834732091153,0.8977834732091153,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.9414333582536489,0.009478764925924477,0.04908787682042659,0.9414333582536489,0.9344358653101341,0.9344358653101341,raw_digitized,rt_scaled_minor_digitization_residual_le_1pct,0.8773486421131709,0.027341682065218278,0.09530967582161086,0.8773486421131709,0.8516408416158218,0.8516408416158218,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget,0.9014474039215108,0.015087695972352847,0.08346490010613636,0.9014474039215108,0.8884493529306293,0.8884493529306293,raw_digitized,rt_scaled_to_preserve_absorptance_and_unit_budget
